"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"AT","T","TOTAL","2011","8401940","",""
"BE","T","TOTAL","2011","11000638","",""
"BG","T","TOTAL","2011","7364570","",""
"CH","T","TOTAL","2011","7954662","",""
"CY","T","TOTAL","2011","840407","",""
"CZ","T","TOTAL","2011","10649800","",""
"DE","T","TOTAL","2011","80219695","",""
"DK","T","TOTAL","2011","5560628","",""
"EE","T","TOTAL","2011","1294455","",""
"EL","T","TOTAL","2011","10816286","",""
"ES","T","TOTAL","2011","46815910","",""
"FI","T","TOTAL","2011","5375276","",""
"FR","T","TOTAL","2011","64933400","",""
"HR","T","TOTAL","2011","4284889","",""
"HU","T","TOTAL","2011","9778371","",""
"IE","T","TOTAL","2011","4574888","",""
"IS","T","TOTAL","2011","315556","",""
"IT","T","TOTAL","2011","59433744","",""
"LI","T","TOTAL","2011","36149","",""
"LT","T","TOTAL","2011","3043429","",""
"LU","T","TOTAL","2011","512353","",""
"LV","T","TOTAL","2011","2070371","",""
"MT","T","TOTAL","2011","417432","",""
"NL","T","TOTAL","2011","16655799","",""
"NO","T","TOTAL","2011","4979954","",""
"PL","T","TOTAL","2011","38044565","",""
"PT","T","TOTAL","2011","10562178","",""
"RO","T","TOTAL","2011","20121641","",""
"SE","T","TOTAL","2011","9482855","",""
"SI","T","TOTAL","2011","2050189","",""
"SK","T","TOTAL","2011","5450421","",""
"UK","T","TOTAL","2011","63182180","",""
